node_id,label,name,attrs,record_ids
CVE:CVE-2026-9198,Vulnerability,CVE-2026-9198,"{""cve_id"": ""CVE-2026-9198"", ""year"": 2026, ""cve_name"": ""IBM Langflow Code Injection Vulnerability"", ""impacts"": [""Remote Code Execution""], ""attack_position"": [""remote"", ""unauthenticated""], ""end_of_life"": false, ""mentioned_only"": false}",30
VENDOR:ibm,Vendor,IBM,{},30
PRODUCT:langflow,Product,Langflow,{},30 39 54
CVE:CVE-2026-18577,Vulnerability,CVE-2026-18577,"{""cve_id"": ""CVE-2026-18577"", ""year"": 2026, ""cve_name"": ""N-able N-central Authentication Bypass Using an Alternate Path or Channel Vulnerability"", ""impacts"": [""Authentication Bypass"", ""Unauthorized Access""], ""attack_position"": [], ""end_of_life"": false, ""mentioned_only"": false}",31
CVE:CVE-2026-20316,Vulnerability,CVE-2026-20316,"{""cve_id"": ""CVE-2026-20316"", ""year"": 2026, ""cve_name"": ""Cisco Secure Firewall Management Center Use of Hard-coded Password Vulnerability"", ""impacts"": [""Information Disclosure"", ""Unauthorized Access""], ""attack_position"": [""remote"", ""unauthenticated""], ""end_of_life"": false, ""mentioned_only"": false}",32
VULNERABILITYCLASS:use of hard-coded password,VulnerabilityClass,Use Of Hard-Coded Password,"{""cwe_id"": ""CWE-798""}",32
PRODUCT:secure firewall management center (fmc),Product,Secure Firewall Management Center (FMC),{},32
CVE:CVE-2025-68686,Vulnerability,CVE-2025-68686,"{""cve_id"": ""CVE-2025-68686"", ""year"": 2025, ""cve_name"": ""Fortinet FortiOS Exposure of Sensitive Information to an Unauthorized Actor Vulnerability"", ""impacts"": [""Authentication Bypass"", ""Information Disclosure""], ""attack_position"": [""remote"", ""unauthenticated""], ""end_of_life"": false, ""mentioned_only"": false}",33
VULNERABILITYCLASS:exposure of sensitive information to an unauthorized actor,VulnerabilityClass,Exposure Of Sensitive Information To An Unauthorized Actor,"{""cwe_id"": ""CWE-200""}",33
VENDOR:fortinet,Vendor,Fortinet,{},33 42 43
PRODUCT:fortios,Product,FortiOS,{},33
CVE:CVE-2026-16812,Vulnerability,CVE-2026-16812,"{""cve_id"": ""CVE-2026-16812"", ""year"": 2026, ""cve_name"": ""Arista VeloCloud Orchestrator On-Prem OS Command Injection Vulnerability"", ""impacts"": [""Unauthorized Access""], ""attack_position"": [""remote""], ""end_of_life"": false, ""mentioned_only"": false}",34
VENDOR:arista,Vendor,Arista,{},34
PRODUCT:velocloud orchestrator,Product,VeloCloud Orchestrator,{},34
CVE:CVE-2026-16232,Vulnerability,CVE-2026-16232,"{""cve_id"": ""CVE-2026-16232"", ""year"": 2026, ""cve_name"": ""Check Point SmartConsole Improper Authentication Vulnerability"", ""impacts"": [""Authentication Bypass""], ""attack_position"": [""remote"", ""unauthenticated""], ""end_of_life"": false, ""mentioned_only"": false}",35
VENDOR:check point,Vendor,Check Point,{},35
PRODUCT:smartconsole,Product,SmartConsole,{},35
CVE:CVE-2026-50522,Vulnerability,CVE-2026-50522,"{""cve_id"": ""CVE-2026-50522"", ""year"": 2026, ""cve_name"": ""Microsoft SharePoint Deserialization of Untrusted Data Vulnerability"", ""impacts"": [""Remote Code Execution""], ""attack_position"": [""network"", ""unauthenticated""], ""end_of_life"": false, ""mentioned_only"": false}",36
CVE:CVE-2026-60137,Vulnerability,CVE-2026-60137,"{""cve_id"": ""CVE-2026-60137"", ""year"": 2026, ""cve_name"": ""WordPress Core SQL Injection Vulnerability"", ""impacts"": [""Remote Code Execution""], ""attack_position"": [""remote"", ""unauthenticated""], ""end_of_life"": false, ""mentioned_only"": false}",37 38
VENDOR:wordpress,Vendor,WordPress,{},37 38
PRODUCT:core,Product,Core,{},37 38
CVE:CVE-2026-63030,Vulnerability,CVE-2026-63030,"{""cve_id"": ""CVE-2026-63030"", ""year"": 2026, ""cve_name"": ""WordPress Core Interpretation Conflict Vulnerability"", ""impacts"": [""Remote Code Execution""], ""attack_position"": [""remote""], ""end_of_life"": false, ""mentioned_only"": false}",37 38
VULNERABILITYCLASS:interpretation conflict,VulnerabilityClass,Interpretation Conflict,"{""cwe_id"": ""CWE-436""}",38
CVE:CVE-2026-0770,Vulnerability,CVE-2026-0770,"{""cve_id"": ""CVE-2026-0770"", ""year"": 2026, ""cve_name"": ""Langflow Inclusion of Functionality from Untrusted Control Sphere Vulnerability"", ""impacts"": [""Remote Code Execution""], ""attack_position"": [""remote""], ""end_of_life"": false, ""mentioned_only"": false}",39
VULNERABILITYCLASS:inclusion of functionality from untrusted control sphere,VulnerabilityClass,Inclusion Of Functionality From Untrusted Control Sphere,"{""cwe_id"": ""CWE-829""}",39
VENDOR:langflow,Vendor,Langflow,{},39 54
CVE:CVE-2021-27137,Vulnerability,CVE-2021-27137,"{""cve_id"": ""CVE-2021-27137"", ""year"": 2021, ""cve_name"": ""DD-WRT Stack-Based Buffer Overflow Vulnerability"", ""impacts"": [""Remote Code Execution""], ""attack_position"": [""unauthenticated""], ""end_of_life"": false, ""mentioned_only"": false}",40
VULNERABILITYCLASS:stack-based buffer overflow,VulnerabilityClass,Stack-Based Buffer Overflow,"{""cwe_id"": ""CWE-121""}",40
VENDOR:dd-wrt,Vendor,DD-WRT,{},40
PRODUCT:dd-wrt,Product,DD-WRT,{},40
CVE:CVE-2026-58644,Vulnerability,CVE-2026-58644,"{""cve_id"": ""CVE-2026-58644"", ""year"": 2026, ""cve_name"": ""Microsoft SharePoint Deserialization of Untrusted Data Vulnerability"", ""impacts"": [""Remote Code Execution""], ""attack_position"": [""network"", ""unauthenticated""], ""end_of_life"": false, ""mentioned_only"": false}",41
CVE:CVE-2026-25089,Vulnerability,CVE-2026-25089,"{""cve_id"": ""CVE-2026-25089"", ""year"": 2026, ""cve_name"": ""Fortinet FortiSandbox OS Command Injection Vulnerability"", ""impacts"": [""Remote Code Execution""], ""attack_position"": [""unauthenticated""], ""end_of_life"": false, ""mentioned_only"": false}",42
PRODUCT:fortisandbox,Product,FortiSandbox,{},42 43
CVE:CVE-2026-39808,Vulnerability,CVE-2026-39808,"{""cve_id"": ""CVE-2026-39808"", ""year"": 2026, ""cve_name"": ""Fortinet FortiSandbox OS Command Injection Vulnerability"", ""impacts"": [""Remote Code Execution""], ""attack_position"": [""unauthenticated""], ""end_of_life"": false, ""mentioned_only"": false}",43
CVE:CVE-2026-46817,Vulnerability,CVE-2026-46817,"{""cve_id"": ""CVE-2026-46817"", ""year"": 2026, ""cve_name"": ""Oracle E-Business Suite Improper Privilege Management Vulnerability"", ""impacts"": [""Unauthorized Access""], ""attack_position"": [""network"", ""unauthenticated""], ""end_of_life"": false, ""mentioned_only"": false}",44
VULNERABILITYCLASS:improper privilege management,VulnerabilityClass,Improper Privilege Management,"{""cwe_id"": ""CWE-269""}",44
PRODUCT:e-business suite,Product,E-Business Suite,{},44
CVE:CVE-2023-4346,Vulnerability,CVE-2023-4346,"{""cve_id"": ""CVE-2023-4346"", ""year"": 2023, ""cve_name"": ""KNX Association KNX Protocol Connection Authorization Option 1 Overly Restrictive Account Lockout Mechanism Vulnerability"", ""impacts"": [""Arbitrary File Manipulation"", ""Unauthorized Access""], ""attack_position"": [], ""end_of_life"": false, ""mentioned_only"": false}",45
VULNERABILITYCLASS:overly restrictive account lockout mechanism,VulnerabilityClass,Overly Restrictive Account Lockout Mechanism,"{""cwe_id"": ""CWE-645""}",45
VENDOR:knx association,Vendor,KNX Association,{},45
PRODUCT:knx protocol connection authorization option 1,Product,KNX Protocol Connection Authorization Option 1,{},45
CVE:CVE-2026-56155,Vulnerability,CVE-2026-56155,"{""cve_id"": ""CVE-2026-56155"", ""year"": 2026, ""cve_name"": ""Microsoft Active Directory Federation Services Insufficient Granularity of Access Control Vulnerability"", ""impacts"": [""Privilege Escalation""], ""attack_position"": [""authenticated"", ""local""], ""end_of_life"": false, ""mentioned_only"": false}",46
VULNERABILITYCLASS:insufficient granularity of access control,VulnerabilityClass,Insufficient Granularity Of Access Control,"{""cwe_id"": ""CWE-1220""}",46
PRODUCT:active directory federation services,Product,Active Directory Federation Services,{},46
CVE:CVE-2026-56164,Vulnerability,CVE-2026-56164,"{""cve_id"": ""CVE-2026-56164"", ""year"": 2026, ""cve_name"": ""Microsoft SharePoint Server Missing Authentication for Critical Function Vulnerability"", ""impacts"": [""Privilege Escalation""], ""attack_position"": [""network"", ""unauthenticated""], ""end_of_life"": false, ""mentioned_only"": false}",47
PRODUCT:sharepoint server,Product,SharePoint Server,{},47 57
CVE:CVE-2026-15409,Vulnerability,CVE-2026-15409,"{""cve_id"": ""CVE-2026-15409"", ""year"": 2026, ""cve_name"": ""SonicWall SMA1000 Appliances Server-Side Request Forgery Vulnerability"", ""impacts"": [""Server-Side Request Forgery""], ""attack_position"": [""remote"", ""unauthenticated""], ""end_of_life"": false, ""mentioned_only"": false}",48
VENDOR:sonicwall,Vendor,SonicWall,{},48 49
PRODUCT:sma1000 appliances,Product,SMA1000 Appliances,{},48 49
CVE:CVE-2026-15410,Vulnerability,CVE-2026-15410,"{""cve_id"": ""CVE-2026-15410"", ""year"": 2026, ""cve_name"": ""SonicWall SMA1000 Appliances Code Injection Vulnerability"", ""impacts"": [""Remote Code Execution""], ""attack_position"": [""authenticated"", ""remote""], ""end_of_life"": false, ""mentioned_only"": false}",49
CVE:CVE-2008-4128,Vulnerability,CVE-2008-4128,"{""cve_id"": ""CVE-2008-4128"", ""year"": 2008, ""cve_name"": ""Cisco IOS Cross-Site Request Forgery Vulnerability"", ""impacts"": [""Remote Code Execution""], ""attack_position"": [""remote""], ""end_of_life"": false, ""mentioned_only"": false}",50
VULNERABILITYCLASS:cross-site request forgery,VulnerabilityClass,Cross-Site Request Forgery,"{""cwe_id"": ""CWE-352""}",50
PRODUCT:ios,Product,IOS,{},50
CVE:CVE-2026-56291,Vulnerability,CVE-2026-56291,"{""cve_id"": ""CVE-2026-56291"", ""year"": 2026, ""cve_name"": ""Balbooa Forms Unrestricted Upload of File with Dangerous Type Vulnerability"", ""impacts"": [""Remote Code Execution""], ""attack_position"": [""unauthenticated""], ""end_of_life"": false, ""mentioned_only"": false}",51
VULNERABILITYCLASS:unrestricted upload of file with dangerous type,VulnerabilityClass,Unrestricted Upload Of File With Dangerous Type,"{""cwe_id"": ""CWE-434""}",51 52 53
VENDOR:balbooa,Vendor,Balbooa,{},51
PRODUCT:forms,Product,Forms,{},51
CVE:CVE-2026-48939,Vulnerability,CVE-2026-48939,"{""cve_id"": ""CVE-2026-48939"", ""year"": 2026, ""cve_name"": ""iCagenda Unrestricted Upload of File with Dangerous Type Vulnerability"", ""impacts"": [""Remote Code Execution""], ""attack_position"": [], ""end_of_life"": false, ""mentioned_only"": false}",52
VENDOR:icagenda,Vendor,iCagenda,{},52
PRODUCT:icagenda,Product,iCagenda,{},52
CVE:CVE-2026-48908,Vulnerability,CVE-2026-48908,"{""cve_id"": ""CVE-2026-48908"", ""year"": 2026, ""cve_name"": ""JoomShaper SP Page Builder Unrestricted Upload of File with Dangerous Type Vulnerability"", ""impacts"": [""Remote Code Execution""], ""attack_position"": [""unauthenticated""], ""end_of_life"": false, ""mentioned_only"": false}",53
VENDOR:joomshaper,Vendor,JoomShaper,{},53
PRODUCT:sp page builder,Product,SP Page Builder,{},53
